scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S1,GA,balanced,1,1,6,0.0,0.5,0.5,1000083.5256756856,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.0000328774655736e-05,47.32526858367735,99998,3,3,0.5,0.4763641357421875
S1,GA,balanced,2,2,6,0.0,0.5,0.5,3.0000238138661437e-05,5000,True,OK,6.000047627732287e-05,46.20114601139113,99996,3,3,0.5,0.4672551155090332
S1,GA,balanced,3,3,6,0.0,0.5,0.5,3.000014343895134e-05,5000,True,OK,6.000028687790268e-05,36.068255171678544,99995,4,2,0.6666666666666666,0.4810609817504883
S1,GA,balanced,4,4,6,0.0,0.5,0.5,1000147.1256260151,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000027757844105e-05,36.03350165400221,99995,3,3,0.5,0.4725658893585205
S1,GA,balanced,5,5,6,0.0,0.5,0.5,1000109.4441526516,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000042921369653e-05,39.98033547954845,99996,3,3,0.5,0.487407922744751
S1,GA,balanced,6,6,6,0.0,0.5,0.5,2000315.2883377594,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000067694686467e-05,42.528928280151995,99995,3,3,0.5,0.49235105514526367
S1,GA,balanced,7,7,6,0.0,0.5,0.5,2000105.2732344707,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000003828622748e-05,27.706001448376114,99999,4,2,0.6666666666666666,0.4935119152069092
S1,GA,balanced,8,8,6,0.0,0.5,0.5,3.000030364034116e-05,5000,True,OK,6.000060728068232e-05,33.733132267701734,99995,2,4,0.3333333333333333,0.48859095573425293
S1,GA,balanced,9,9,6,0.0,0.5,0.5,1000032.7807684847,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000042012572248e-05,34.615593534956155,99996,3,3,0.5,0.49654316902160645
S1,GA,balanced,10,10,6,0.0,0.5,0.5,3.0000208160508254e-05,5000,True,OK,6.000041632101651e-05,48.46261300708124,99996,5,1,0.8333333333333334,0.5164999961853027
S1,GA,balanced,11,11,6,0.0,0.5,0.5,1000129.0131416089,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.0000313922381316e-05,44.04109213736608,99996,4,2,0.6666666666666666,0.5139851570129395
S1,GA,balanced,12,12,6,0.0,0.5,0.5,3.0000243432252126e-05,5000,True,OK,6.000048686450425e-05,46.90173374383198,99997,4,2,0.6666666666666666,0.5271933078765869
S1,GA,balanced,13,13,6,0.0,0.5,0.5,1000141.6524939763,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.0000497384442127e-05,45.972751041007484,99995,2,4,0.3333333333333333,0.5306649208068848
S1,GA,balanced,14,14,6,0.0,0.5,0.5,1000022.4191401581,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000041118591104e-05,31.044437442546467,99995,3,3,0.5,0.5143599510192871
S1,GA,balanced,15,15,6,0.0,0.5,0.5,2000118.8392860256,5000,False,Sensor 3 (Temperature) poza strefą 'chest',6.000041729795126e-05,31.111230580415274,99995,5,1,0.8333333333333334,0.515488862991333
S1,GA,balanced,16,16,6,0.0,0.5,0.5,1000220.961250145,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000044691124516e-05,47.37918051102649,99996,4,2,0.6666666666666666,0.5175659656524658
S1,GA,balanced,17,17,6,0.0,0.5,0.5,1000012.3510989869,5000,False,Sensor 1 (ECG) poza strefą 'chest',6.000037242376478e-05,34.30966878051378,99996,3,3,0.5,0.4758470058441162
S1,GA,balanced,18,18,6,0.0,0.5,0.5,1000146.6678113135,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.0000455912428396e-05,53.755625588193666,99997,3,3,0.5,0.47862911224365234
S1,GA,balanced,19,19,6,0.0,0.5,0.5,1000001.4143668372,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.0000657108012576e-05,44.624947957737156,99995,4,2,0.6666666666666666,0.47864413261413574
S1,GA,balanced,20,20,6,0.0,0.5,0.5,3.0000206114248418e-05,5000,True,OK,6.0000412228496836e-05,27.171989896018772,99995,1,5,0.16666666666666666,0.4812009334564209
S1,GA,balanced,21,21,6,0.0,0.5,0.5,1000120.2871612936,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.0000264832785443e-05,38.05401427413786,99998,3,3,0.5,0.5904049873352051
S1,GA,balanced,22,22,6,0.0,0.5,0.5,1000039.6580606854,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.000051900105934e-05,40.17605139545066,99995,4,2,0.6666666666666666,0.5905778408050537
S1,GA,balanced,23,23,6,0.0,0.5,0.5,1000007.305667478,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000051593753849e-05,46.951203185012815,99997,3,3,0.5,0.591461181640625
S1,GA,balanced,24,24,6,0.0,0.5,0.5,1000035.9455110867,5000,False,Sensor 1 (ECG) poza strefą 'chest',6.000080338804842e-05,44.23409468071672,99995,4,2,0.6666666666666666,0.5898852348327637
S1,GA,balanced,25,25,6,0.0,0.5,0.5,1000103.1262566342,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000027115618131e-05,34.653030612836616,99996,4,2,0.6666666666666666,0.8443458080291748
S1,GA,balanced,26,26,6,0.0,0.5,0.5,1000084.5898776662,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000068430459089e-05,41.93997261851306,99995,2,4,0.3333333333333333,0.8562319278717041
