scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S1,GA,energy_priority,1,1,6,0.0,0.7,0.3,2000079.1885947208,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.0000247497721666e-05,40.149080566624306,99997,0,6,0.0,0.4709172248840332
S1,GA,energy_priority,2,2,6,0.0,0.7,0.3,2000150.8134750305,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000062305979818e-05,33.72433529912188,99996,1,5,0.16666666666666666,0.46691203117370605
S1,GA,energy_priority,3,3,6,0.0,0.7,0.3,1000493.7655128326,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.0000802608709726e-05,50.327176219585375,99995,4,2,0.6666666666666666,0.4664428234100342
S1,GA,energy_priority,4,4,6,0.0,0.7,0.3,1000006.9828177084,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.00005697738889e-05,31.545770855019505,99996,3,3,0.5,0.4641692638397217
S1,GA,energy_priority,5,5,6,0.0,0.7,0.3,1000167.568774704,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000070679447167e-05,49.639594637861116,99995,4,2,0.6666666666666666,0.43834900856018066
S1,GA,energy_priority,6,6,6,0.0,0.7,0.3,1000319.5262193992,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.0000232084402553e-05,42.95630245767046,99996,4,2,0.6666666666666666,0.4429759979248047
S1,GA,energy_priority,7,7,6,0.0,0.7,0.3,1000219.6326976484,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000029631571821e-05,31.32582521730866,99996,2,4,0.3333333333333333,0.43602895736694336
S1,GA,energy_priority,8,8,6,0.0,0.7,0.3,1000266.8965645722,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000029755781956e-05,33.68832819424383,99996,3,3,0.5,0.4398770332336426
S1,GA,energy_priority,9,9,6,0.0,0.7,0.3,1000020.1957506543,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.0000380879341184e-05,33.73949799210004,99995,4,2,0.6666666666666666,0.4378960132598877
S1,GA,energy_priority,10,10,6,0.0,0.7,0.3,4.2000313623526744e-05,5000,True,OK,6.000044803360964e-05,38.45735683801037,99996,4,2,0.6666666666666666,0.4396507740020752
S1,GA,energy_priority,11,11,6,0.0,0.7,0.3,1000227.640095976,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000023159007219e-05,32.63028723142659,99995,3,3,0.5,0.433030366897583
S1,GA,energy_priority,12,12,6,0.0,0.7,0.3,1000130.460618739,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000037946520056e-05,26.382416118225706,99995,1,5,0.16666666666666666,0.4408142566680908
S1,GA,energy_priority,13,13,6,0.0,0.7,0.3,1000004.317570288,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000019522352732e-05,36.491812315840974,99996,3,3,0.5,0.43686771392822266
S1,GA,energy_priority,14,14,6,0.0,0.7,0.3,1000024.7892199713,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000017619915419e-05,41.57584847958048,99998,3,3,0.5,0.4419832229614258
S1,GA,energy_priority,15,15,6,0.0,0.7,0.3,1000098.6071447413,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000049059670206e-05,28.371302968355693,99995,3,3,0.5,0.4372439384460449
S1,GA,energy_priority,16,16,6,0.0,0.7,0.3,2000034.9933179775,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000049673769587e-05,37.17583098064176,99996,2,4,0.3333333333333333,0.4457521438598633
S1,GA,energy_priority,17,17,6,0.0,0.7,0.3,2000152.853398228,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000055407666232e-05,37.434931858819596,99995,0,6,0.0,0.43642497062683105
S1,GA,energy_priority,18,18,6,0.0,0.7,0.3,1000068.1812345727,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.0000173489431515e-05,41.47466815397486,99998,1,5,0.16666666666666666,0.4356379508972168
S1,GA,energy_priority,19,19,6,0.0,0.7,0.3,1000262.2494295907,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.0000305237958934e-05,35.38001187044237,99995,4,2,0.6666666666666666,0.43500208854675293
S1,GA,energy_priority,20,20,6,0.0,0.7,0.3,2000123.5107908258,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000042118760159e-05,34.4446142804055,99996,2,4,0.3333333333333333,0.43639183044433594
S1,GA,energy_priority,21,21,6,0.0,0.7,0.3,1000278.7108923611,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000061202089549e-05,44.50887796908124,99995,4,2,0.6666666666666666,0.47054100036621094
S1,GA,energy_priority,22,22,6,0.0,0.7,0.3,1000091.8951016655,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000053985384404e-05,43.563808635740905,99996,3,3,0.5,0.47324538230895996
S1,GA,energy_priority,23,23,6,0.0,0.7,0.3,1000073.0097078518,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000064356133356e-05,44.23202767050124,99995,5,1,0.8333333333333334,0.4637451171875
S1,GA,energy_priority,24,24,6,0.0,0.7,0.3,2000155.7040716805,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000034969095848e-05,53.94303595595475,99997,4,2,0.6666666666666666,0.46478796005249023
S1,GA,energy_priority,25,25,6,0.0,0.7,0.3,1000412.7659874557,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000042573431356e-05,38.00368293478309,99996,4,2,0.6666666666666666,0.44063305854797363
S1,GA,energy_priority,26,26,6,0.0,0.7,0.3,1000039.7300564668,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000035766365983e-05,42.95000371208746,99996,3,3,0.5,0.43996500968933105
S1,GA,energy_priority,27,27,6,0.0,0.7,0.3,2000316.2230994466,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.0000521725981477e-05,43.62213525881934,99995,3,3,0.5,0.4332561492919922
S1,GA,energy_priority,28,28,6,0.0,0.7,0.3,1000038.935688175,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.0000194843063336e-05,37.75847068823995,99997,2,4,0.3333333333333333,0.4327888488769531
S1,GA,energy_priority,29,29,6,0.0,0.7,0.3,2000274.149850402,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.000009228764133e-05,40.430472158604296,99998,3,3,0.5,0.4317591190338135
