scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S1,GA,energy_priority,1,1,6,0.0,0.7,0.3,1000473.335143196,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.0000498441393237e-05,40.01767854254399,99996,4,2,0.6666666666666666,0.4418947696685791
S1,GA,energy_priority,2,2,6,0.0,0.7,0.3,1000742.7788899242,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.0000503932219e-05,47.25457144953316,99996,3,3,0.5,0.43581318855285645
S1,GA,energy_priority,3,3,6,0.0,0.7,0.3,1000173.474011564,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.000033731498029e-05,34.78842273790707,99997,1,5,0.16666666666666666,0.4420931339263916
S1,GA,balanced,1,1,6,0.0,0.5,0.5,1000007.1896523294,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.000005012594987e-05,40.16151758831365,99998,3,3,0.5,0.4325900077819824
S1,GA,balanced,2,2,6,0.0,0.5,0.5,1000055.4090065974,5000,False,Sensor 2 (SpO2) poza strefą 'left_wrist',6.0000137194508515e-05,29.896080546149726,99997,3,3,0.5,0.4373178482055664
S1,GA,balanced,3,3,6,0.0,0.5,0.5,1000061.9716599372,5000,False,Sensor 4 (Heart_Rate) poza strefą 'right_wrist',6.0000379854184126e-05,42.12722300864151,99995,4,2,0.6666666666666666,0.4320988655090332
S1,GA,reliability_priority,1,1,6,0.0,0.3,0.7,1000045.7584851349,5000,False,Sensor 5 (Accelerometer) poza strefą 'waist',6.0000362352126184e-05,38.49634224194423,99996,3,3,0.5,0.43328309059143066
S1,GA,reliability_priority,2,2,6,0.0,0.3,0.7,1000318.3846806431,5000,False,Sensor 6 (Gyroscope) poza strefą 'left_ankle',6.000029201022471e-05,36.617929674253304,99996,4,2,0.6666666666666666,0.4315612316131592
S1,GA,reliability_priority,3,3,6,0.0,0.3,0.7,1000042.6767236786,5000,False,Sensor 3 (Temperature) poza strefą 'chest',6.000044983367802e-05,30.713871039453764,99995,2,4,0.3333333333333333,0.43366408348083496
S1,PSO,energy_priority,1,1,6,0.0,0.7,0.3,4.200018281861754e-05,5000,True,OK,6.000026116945364e-05,44.36006966720842,99998,5,1,0.8333333333333334,0.40160393714904785
S1,PSO,energy_priority,2,2,6,0.0,0.7,0.3,4.2000101415368295e-05,5000,True,OK,6.0000144879097565e-05,33.76475673660521,99998,4,2,0.6666666666666666,0.42450594902038574
S1,PSO,energy_priority,3,3,6,0.0,0.7,0.3,4.200019525537702e-05,5000,True,OK,6.0000278936252895e-05,55.73816369942958,99998,4,2,0.6666666666666666,0.378493070602417
S1,PSO,balanced,1,1,6,0.0,0.5,0.5,3.0000017216713e-05,5000,True,OK,6.0000034433426e-05,30.160254501725426,99999,3,3,0.5,0.40395522117614746
S1,PSO,balanced,2,2,6,0.0,0.5,0.5,3.0000026214121786e-05,5000,True,OK,6.000005242824357e-05,43.76553106114683,99999,4,2,0.6666666666666666,0.39450693130493164
S1,PSO,balanced,3,3,6,0.0,0.5,0.5,3.000000084521947e-05,5000,True,OK,6.000000169043894e-05,33.260744111439934,99999,3,3,0.5,0.47054004669189453
S1,PSO,reliability_priority,1,1,6,0.0,0.3,0.7,1.800007348803253e-05,5000,True,OK,6.000024496010844e-05,44.36057259225866,99998,4,2,0.6666666666666666,0.4239022731781006
S1,PSO,reliability_priority,2,2,6,0.0,0.3,0.7,1.8000013310584548e-05,5000,True,OK,6.000004436861517e-05,31.908398515024167,99999,2,4,0.3333333333333333,0.4123959541320801
S1,PSO,reliability_priority,3,3,6,0.0,0.3,0.7,1.8000056106467756e-05,5000,True,OK,6.000018702155919e-05,44.16329889224001,99998,0,6,0.0,0.4005928039550781
S2,GA,energy_priority,1,1,15,-5.0,0.7,0.3,7004342.9120115815,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000088676750333,28.298356086678297,99995,11,4,0.7333333333333333,1.2815358638763428
S2,GA,energy_priority,2,2,15,-5.0,0.7,0.3,6001495.938661762,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000128983195477,27.853161457224942,99995,6,9,0.4,1.2833030223846436
S2,GA,energy_priority,3,3,15,-5.0,0.7,0.3,7006891.047426509,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.0001500001296125669,20.975059433903887,99997,7,8,0.4666666666666667,1.2820930480957031
S2,GA,balanced,1,1,15,-5.0,0.5,0.5,7001809.42285257,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000069091877671,24.653124154596874,99995,10,5,0.6666666666666666,1.335453987121582
S2,GA,balanced,2,2,15,-5.0,0.5,0.5,8002643.019187193,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000129587619128,26.984045890478875,99995,10,5,0.6666666666666666,1.3448679447174072
S2,GA,balanced,3,3,15,-5.0,0.5,0.5,8002154.468202521,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000109766559613,33.95981592268757,99995,0,15,0.0,1.3482868671417236
S2,GA,reliability_priority,1,1,15,-5.0,0.3,0.7,7004723.511781702,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.0001500013491923362,20.975827089857866,99995,6,9,0.4,1.291949987411499
S2,GA,reliability_priority,2,2,15,-5.0,0.3,0.7,7006991.6938986005,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.0001500006812425967,24.74429983293568,99996,10,5,0.6666666666666666,1.2894959449768066
S2,GA,reliability_priority,3,3,15,-5.0,0.3,0.7,7007364.010726703,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000085452968902,30.008560622022998,99996,7,8,0.4666666666666667,1.2879900932312012
S2,PSO,energy_priority,1,1,15,-5.0,0.7,0.3,1000304.1451773375,5000,False,Sensor 14 (Gyroscope) poza strefą 'right_ankle',0.00015000115568179065,38.35184063112277,99995,8,7,0.5333333333333333,1.188194990158081
S2,PSO,energy_priority,2,2,15,-5.0,0.7,0.3,5000420.401570029,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500012397114516,30.83863279193796,99995,7,8,0.4666666666666667,1.1829712390899658
S2,PSO,energy_priority,3,3,15,-5.0,0.7,0.3,2000380.000584127,5000,False,Sensor 5 (Temperature) poza strefą 'chest',0.00015000103139497918,31.80687714116796,99996,7,8,0.4666666666666667,1.1898810863494873
S2,PSO,balanced,1,1,15,-5.0,0.5,0.5,2000514.7132812878,5000,False,Sensor 13 (Gyroscope) poza strefą 'left_ankle',0.0001500012539922405,39.834106347502754,99995,8,7,0.5333333333333333,1.1870357990264893
S2,PSO,balanced,2,2,15,-5.0,0.5,0.5,2000243.7806282784,5000,False,Sensor 11 (Accelerometer) poza strefą 'left_thigh',0.0001500014022129451,28.071179940341523,99995,11,4,0.7333333333333333,1.2176861763000488
S2,PSO,balanced,3,3,15,-5.0,0.5,0.5,3000411.2856418006,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.00015000104348870857,24.540352872742027,99995,10,5,0.6666666666666666,1.1814332008361816
