scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S2,PSO,balanced,1,1,15,-10,0.5,0.5,3000729.2678239085,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000073390439566,22.908789328694603,99995,8,7,0.5333333333333333,1.214822769165039
S2,PSO,balanced,2,2,15,-10,0.5,0.5,3000429.4216067274,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.0001500013574494211,29.909958788050915,99995,6,9,0.4,1.2115089893341064
S2,PSO,balanced,3,3,15,-10,0.5,0.5,3000486.3126165853,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000154717614625,32.95399758305179,99995,0,15,0.0,1.2512497901916504
S2,PSO,balanced,4,4,15,-10,0.5,0.5,5001166.621266197,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000120419225303,30.69655497540183,99996,8,7,0.5333333333333333,1.2168760299682617
S2,PSO,balanced,5,5,15,-10,0.5,0.5,4001244.834239887,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000139131332994,28.51822903104425,99995,8,7,0.5333333333333333,1.220703125
S2,PSO,balanced,6,6,15,-10,0.5,0.5,3000425.648900277,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000082341931658,27.724687407564048,99996,7,8,0.4666666666666667,1.2155978679656982
S2,PSO,balanced,7,7,15,-10,0.5,0.5,4000485.634660763,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000155787996082,35.76015863001718,99995,6,9,0.4,1.2217960357666016
S2,PSO,balanced,8,8,15,-10,0.5,0.5,3000759.717047749,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000098394636228,40.08281065448603,99996,5,10,0.3333333333333333,1.2404651641845703
S2,PSO,balanced,9,9,15,-10,0.5,0.5,2000754.5788714034,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500008023538267,26.533754672111023,99996,7,8,0.4666666666666667,1.2009589672088623
S2,PSO,balanced,10,10,15,-10,0.5,0.5,2000069.874249968,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000120608035078,29.4208537198311,99996,9,6,0.6,1.2038462162017822
S2,PSO,balanced,11,11,15,-10,0.5,0.5,7.500042113551708e-05,5000,True,OK,0.00015000084227103416,33.10421899834557,99995,8,7,0.5333333333333333,1.2470190525054932
S2,PSO,balanced,12,12,15,-10,0.5,0.5,4001246.119148719,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500009816392114,38.84092977082341,99996,0,15,0.0,1.237287998199463
S2,PSO,balanced,13,13,15,-10,0.5,0.5,3000298.924524693,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000085813830536,22.157569943866015,99995,8,7,0.5333333333333333,1.2138118743896484
S2,PSO,balanced,14,14,15,-10,0.5,0.5,3000688.6085552406,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.0001500013371727036,31.108119711597865,99995,7,8,0.4666666666666667,1.2124698162078857
S2,PSO,balanced,15,15,15,-10,0.5,0.5,4000447.4653945807,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000141855331747,23.521869383174987,99996,10,5,0.6666666666666666,1.241424798965454
S2,PSO,balanced,16,16,15,-10,0.5,0.5,4000863.0609077355,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000153976462658,28.921321665765632,99995,10,5,0.6666666666666666,1.2734417915344238
S2,PSO,balanced,17,17,15,-10,0.5,0.5,3000687.6671922845,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000079239151564,27.252469141596805,99995,6,9,0.4,1.4452259540557861
