scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S2,PSO,balanced,1,1,15,5,0.5,0.5,4000379.7768913675,5000,False,Sensor 11 (Accelerometer) poza strefą 'left_thigh',0.00015000089164233913,43.21045555672879,99996,4,11,0.26666666666666666,1.19580078125
S2,PSO,balanced,2,2,15,5,0.5,0.5,1000142.2533485682,5000,False,Sensor 13 (Gyroscope) poza strefą 'left_ankle',0.0001500013125034195,39.97172512714096,99995,11,4,0.7333333333333333,1.1929621696472168
S2,PSO,balanced,3,3,15,5,0.5,0.5,3000737.746216807,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.0001500010788710625,45.991123559773726,99995,8,7,0.5333333333333333,1.200523853302002
S2,PSO,balanced,4,4,15,5,0.5,0.5,2000920.7772707387,5000,False,Sensor 7 (Heart_Rate) poza strefą 'chest',0.00015000087501207578,46.172154229463196,99996,11,4,0.7333333333333333,1.1923608779907227
S2,PSO,balanced,5,5,15,5,0.5,0.5,2000152.9539768077,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.0001500009743650176,40.54476180751006,99995,6,9,0.4,1.1942768096923828
S2,PSO,balanced,6,6,15,5,0.5,0.5,3001040.4424018282,5000,False,Sensor 9 (Accelerometer) poza strefą 'left_shoulder',0.0001500012154883038,50.066992040748936,99995,0,15,0.0,1.1942007541656494
S2,PSO,balanced,7,7,15,5,0.5,0.5,2000591.8428404997,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000124617088473,38.12635482457059,99995,10,5,0.6666666666666666,1.189026117324829
S2,PSO,balanced,8,8,15,5,0.5,0.5,5001031.31993136,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000117634857377,42.78195633649851,99995,3,12,0.2,1.198127031326294
S2,PSO,balanced,9,9,15,5,0.5,0.5,3000826.7159343027,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000064140290064,32.84937246267185,99996,6,9,0.4,1.1912503242492676
S2,PSO,balanced,10,10,15,5,0.5,0.5,3000640.879576386,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000127829091842,40.782338295485395,99995,6,9,0.4,1.1988401412963867
S2,PSO,balanced,11,11,15,5,0.5,0.5,2000302.7622274854,5000,False,Sensor 14 (Gyroscope) poza strefą 'right_ankle',0.0001500012985266104,50.58237211727901,99995,0,15,0.0,1.1897552013397217
S2,PSO,balanced,12,12,15,5,0.5,0.5,3000649.9705940466,5000,False,Sensor 10 (Accelerometer) poza strefą 'right_shoulder',0.0001500008611613739,38.95804120427253,99995,6,9,0.4,1.2003142833709717
S2,PSO,balanced,13,13,15,5,0.5,0.5,3000808.8688079724,5000,False,Sensor 2 (EEG) poza strefą 'head',0.000150001443813055,50.66231652294309,99995,8,7,0.5333333333333333,1.2234423160552979
S2,PSO,balanced,14,14,15,5,0.5,0.5,4001021.5805599247,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000117173751213,47.19639372877851,99995,11,4,0.7333333333333333,1.2027888298034668
