scenario,algorithm,weight_variant,run_id,seed,n_sensors,P_TX_max,w_E,w_R,best_fitness,n_evaluations,is_valid,validation_reason,E_total,min_link_margin,network_lifetime,los_count,nlos_count,los_ratio,elapsed_time
S2,PSO,balanced,1,1,15,-5,0.5,0.5,7.500054496842293e-05,5000,True,OK,0.00015000108993684587,33.063855205142644,99995,9,6,0.6,1.3322629928588867
S2,PSO,balanced,2,2,15,-5,0.5,0.5,3000254.0829299227,5000,False,Sensor 7 (Heart_Rate) poza strefą 'chest',0.00015000104937654759,38.055216379375935,99995,0,15,0.0,1.3216729164123535
S2,PSO,balanced,3,3,15,-5,0.5,0.5,3000603.6657643593,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.0001500011453975529,27.325122242604884,99995,8,7,0.5333333333333333,1.3497860431671143
S2,PSO,balanced,4,4,15,-5,0.5,0.5,1000452.8877313621,5000,False,Sensor 10 (Accelerometer) poza strefą 'right_shoulder',0.0001500010902073603,32.781922847613025,99995,0,15,0.0,1.3237311840057373
S2,PSO,balanced,5,5,15,-5,0.5,0.5,3000385.6416782765,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.00015000085188406322,28.469442436767267,99996,12,3,0.8,1.2203888893127441
S2,PSO,balanced,6,6,15,-5,0.5,0.5,5000839.509079488,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000086588136649,34.30557344873725,99996,9,6,0.6,1.205862045288086
S2,PSO,balanced,7,7,15,-5,0.5,0.5,1000266.9406112141,5000,False,Sensor 15 (Gyroscope) poza strefą 'waist',0.00015000136134958768,40.55981103910547,99995,0,15,0.0,1.2067761421203613
S2,PSO,balanced,8,8,15,-5,0.5,0.5,5000839.046960484,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000135293988086,28.690681441381045,99995,11,4,0.7333333333333333,1.2480063438415527
S2,PSO,balanced,9,9,15,-5,0.5,0.5,4000788.288608919,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500010410951786,36.80166242161718,99996,0,15,0.0,1.2102501392364502
S2,PSO,balanced,10,10,15,-5,0.5,0.5,2000455.4991985639,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000112236006533,31.21434609308504,99995,8,7,0.5333333333333333,1.2153379917144775
S2,PSO,balanced,11,11,15,-5,0.5,0.5,5000808.59275811,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500007779650191,27.91546412369059,99997,5,10,0.3333333333333333,1.2180168628692627
S2,PSO,balanced,12,12,15,-5,0.5,0.5,4000495.1866840306,5000,False,Sensor 11 (Accelerometer) poza strefą 'left_thigh',0.0001500005607665505,27.503579875732747,99996,10,5,0.6666666666666666,1.250535249710083
S2,PSO,balanced,13,13,15,-5,0.5,0.5,5001137.745917876,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000105724750145,34.00923636455426,99995,8,7,0.5333333333333333,1.2218718528747559
S2,PSO,balanced,14,14,15,-5,0.5,0.5,3000462.0445765443,5000,False,Sensor 5 (Temperature) poza strefą 'chest',0.0001500007371789344,29.95064113467241,99996,6,9,0.4,1.2144272327423096
S2,PSO,balanced,15,15,15,-5,0.5,0.5,5001059.005184882,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000120388259823,31.624737108387265,99996,3,12,0.2,1.2248361110687256
S2,PSO,balanced,16,16,15,-5,0.5,0.5,2000323.7131259395,5000,False,Sensor 5 (Temperature) poza strefą 'chest',0.00015000121000581027,30.70223179838635,99995,12,3,0.8,1.2537598609924316
S2,PSO,balanced,17,17,15,-5,0.5,0.5,3000483.112952374,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000130412874818,36.10263650263843,99995,11,4,0.7333333333333333,1.250891923904419
S2,PSO,balanced,18,18,15,-5,0.5,0.5,3000524.7933477196,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000143922861006,34.886081452354844,99995,8,7,0.5333333333333333,1.259702205657959
S2,PSO,balanced,19,19,15,-5,0.5,0.5,5001622.276907729,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000094178798052,32.62543215034934,99996,10,5,0.6666666666666666,1.2537431716918945
S2,PSO,balanced,20,20,15,-5,0.5,0.5,5001259.059799989,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000135417348349,25.388986284814855,99995,9,6,0.6,1.316483974456787
S2,PSO,balanced,21,21,15,-5,0.5,0.5,4000803.666116341,5000,False,Sensor 3 (SpO2) poza strefą 'left_shoulder',0.00015000122782635116,29.610856696146342,99995,8,7,0.5333333333333333,1.2755029201507568
S2,PSO,balanced,22,22,15,-5,0.5,0.5,4000753.597288031,5000,False,Sensor 1 (ECG) poza strefą 'chest',0.00015000167256269247,32.93577268732431,99995,7,8,0.4666666666666667,1.2843091487884521
S2,PSO,balanced,23,23,15,-5,0.5,0.5,2000557.2184203845,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000115190523451,37.34981643087086,99995,0,15,0.0,1.2818529605865479
S2,PSO,balanced,24,24,15,-5,0.5,0.5,2000803.196463971,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500008533592189,33.953033810650375,99996,10,5,0.6666666666666666,1.275108814239502
S2,PSO,balanced,25,25,15,-5,0.5,0.5,2000259.1098340177,5000,False,Sensor 2 (EEG) poza strefą 'head',0.00015000113960719985,38.03798800713733,99995,0,15,0.0,1.252861738204956
S2,PSO,balanced,26,26,15,-5,0.5,0.5,3000233.2836013874,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500010836572572,28.196252793823298,99995,7,8,0.4666666666666667,1.2592151165008545
S2,PSO,balanced,27,27,15,-5,0.5,0.5,2000468.245660956,5000,False,Sensor 4 (SpO2) poza strefą 'right_wrist',0.00015000135200513492,40.34778034553794,99995,0,15,0.0,1.24477219581604
S2,PSO,balanced,28,28,15,-5,0.5,0.5,4000759.911278151,5000,False,Sensor 8 (Accelerometer) poza strefą 'waist',0.0001500011024891089,34.25475297476037,99996,5,10,0.3333333333333333,1.2877039909362793
S2,PSO,balanced,29,29,15,-5,0.5,0.5,5001056.443207385,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000140203238137,35.13700272591212,99995,7,8,0.4666666666666667,1.2131152153015137
S2,PSO,balanced,30,30,15,-5,0.5,0.5,2000257.8685739073,5000,False,Sensor 10 (Accelerometer) poza strefą 'right_shoulder',0.00015000137421193239,30.319382620854874,99995,9,6,0.6,1.2238569259643555
S2,PSO,balanced,31,31,15,-5,0.5,0.5,6001081.084043501,5000,False,Sensor 8 (Accelerometer) poza strefą 'waist',0.00015000113428209003,27.497529466717978,99995,8,7,0.5333333333333333,1.209402084350586
S2,PSO,balanced,32,32,15,-5,0.5,0.5,1000117.9329274761,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000102806973293,29.30273501841971,99995,6,9,0.4,1.2916841506958008
S2,PSO,balanced,33,33,15,-5,0.5,0.5,1000432.0858160077,5000,False,Sensor 6 (Temperature) poza strefą 'left_wrist',0.00015000129926632288,41.80284026881531,99995,9,6,0.6,1.2642369270324707
S2,PSO,balanced,34,34,15,-5,0.5,0.5,3000527.931672109,5000,False,Sensor 2 (EEG) poza strefą 'head',0.0001500007006471535,34.523715580761504,99995,12,3,0.8,1.2613072395324707
